KGAS_ID,SURVEY,redshift,ba,sersic_n,Re_arcsec,Re_kpc
92,SAMI,0.05041,0.889252044,4.3006,3.0255828,2.9802946628336695
93,SAMI,0.04884,0.2878524,2.0987,7.421616,7.096029542980419
94,SAMI,0.05031,0.83474377,5.0438,4.488488,4.413054382068105
95,SAMI,0.05209,0.34878679999999995,0.8386,5.771463,5.862869661680926
96,SAMI,0.05372,0.974315742,0.9641,5.8530335,6.119981106250124
97,SAMI,0.05285,0.84860231,3.9905,1.7722511,1.8249454686095972
98,SAMI,0.05196,0.6380086,1.5993,5.308095,5.37953305210946
99,SAMI,0.05038,0.7120451,4.4881,2.4764814,2.438047299209163
100,SAMI,0.05178,0.96865417,3.0143,2.6617641,2.688814495030534
101,SAMI,0.05267,0.73089203,1.1317,3.082505,3.164019712514812
102,MANGA,0.05140920355916023,0.7945197224617004,6.0,3.47214937210083,3.4838468027324345
103,MANGA,0.05008009448647499,0.8946373462677002,6.0,5.596362113952637,5.478656736422788
104,MANGA,0.05375507473945618,0.5618315935134888,5.094616889953613,9.461576461791992,9.89915312340342
105,MANGA,0.05247625708580017,0.9245946407318115,6.0,4.8247504234313965,4.935251307370835
106,MANGA,0.05435571447014809,0.7074962854385376,3.8342199325561523,2.2818877696990967,2.412383774966976
107,MANGA,0.05410119891166687,0.7231498956680298,2.0852456092834473,4.426668167114258,4.659307048875781
108,MANGA,0.051546838134527206,0.7359343767166138,1.1080882549285889,6.910888671875,6.9516031157120475
110,MANGA,0.052444685250520706,0.5618510842323303,1.3061431646347046,5.582071781158447,5.706695280702397
111,MANGA,0.05158594995737076,0.5041584968566895,0.812459409236908,3.7389988899230957,3.7637061714977103
112,MANGA,0.04493951424956322,0.6534386277198792,0.9440626502037048,7.144982814788818,6.315116337916454
113,MANGA,0.045833196491003036,0.9807190299034119,5.953460693359375,5.4786505699157715,4.933378515116529
114,MANGA,0.04197686165571213,0.44551417231559753,3.6286041736602783,7.513328552246094,6.224789711202323
115,MANGA,0.044709425419569016,0.6889587640762329,2.74694561958313,3.0651814937591553,2.696036930217199
116,MANGA,0.04330432787537575,0.8647627830505371,1.351762294769287,3.099797248840332,2.645213764940229
117,MANGA,0.04464796185493469,0.831425666809082,0.8936381340026855,4.565634727478027,4.010560593494442
118,MANGA,0.04268033802509308,0.41698309779167175,2.3496932983398438,4.225499153137207,3.556513915750896
119,MANGA,0.045145947486162186,0.7790781259536743,5.352656364440918,2.9914445877075195,2.6554919711985794
120,MANGA,0.047455981373786926,0.8328429460525513,0.8358966112136841,6.4422407150268555,5.994900718237211
121,MANGA,0.04307549074292183,0.559190034866333,1.159814715385437,8.73669719696045,7.418087332910473
122,MANGA,0.04350769892334938,0.4780101180076599,2.7561542987823486,2.9701051712036133,2.545827995550167
123,MANGA,0.0450558215379715,0.8508201241493225,6.0,8.032781600952148,7.117191318474838
124,MANGA,0.04398034140467644,0.8605237007141113,1.5320171117782593,7.6596221923828125,6.633044842488943
125,MANGA,0.04093087092041969,0.6324191689491272,2.115494966506958,2.1652817726135254,1.7514140469471668
126,MANGA,0.04331250488758087,0.5873124003410339,0.7128896117210388,4.831047534942627,4.123315533430501
127,MANGA,0.042284004390239716,0.40030089020729065,1.2135298252105713,8.724912643432617,7.2788156805579485
128,MANGA,0.044898390769958496,0.8568872809410095,4.942861080169678,3.226132869720459,2.8489579767202953
129,MANGA,0.04431607574224472,0.912685751914978,6.0,2.070018768310547,1.8055486767377034
130,MANGA,0.044865887612104416,0.6514021754264832,6.0,2.7027485370635986,2.3851280432504782
131,MANGA,0.043588243424892426,0.2961623966693878,0.66170734167099,7.547242641448975,6.4804801980374425
132,SAMI,0.04292,0.78795949,4.1552,1.9802542,1.6756196062834499
133,SAMI,0.04331,0.17920106999999996,0.6054,8.482794,7.239696443528666
134,SAMI,0.04138,0.44803214,1.4241,3.243925,2.65126010248126
135,SAMI,0.04143,0.61289984,0.9142,1.4058987,1.1503609808804027
136,SAMI,0.04028,0.3049003,0.8535,4.687745,3.73433903478363
137,SAMI,0.04191,0.78306876,4.5191,1.3249365,1.0960481644605988
138,MANGA,0.03823128715157509,0.40995797514915466,1.7149966955184937,4.486966609954834,3.400896275050035
139,MANGA,0.03992898389697075,0.3050578236579895,1.2613164186477661,6.022575378417969,4.757869722838732
140,MANGA,0.03840244188904762,0.46474143862724304,1.440016746520996,7.656317234039307,5.827894327422534
141,MANGA,0.0357859767973423,0.6430796384811401,3.16605806350708,2.1261866092681885,1.5128802350828296
142,MANGA,0.03894544765353203,0.7118492722511292,3.1328046321868896,1.5903044939041138,1.2268415746364087
143,MANGA,0.036893777549266815,0.8727335333824158,2.2080321311950684,2.121659278869629,1.5543329770860541
144,MANGA,0.04074019938707352,0.6072165966033936,1.5219768285751343,9.6224946975708,7.748772797513274
145,MANGA,0.039566557854413986,0.6395922303199768,5.364945888519287,5.78526496887207,4.53086643687862
146,MANGA,0.03640705719590187,0.9299493432044983,2.326162576675415,9.190678596496582,6.648153345569339
147,MANGA,0.03554045408964157,0.6308535933494568,1.48280930519104,5.348177433013916,3.780476725235394
148,MANGA,0.02824489399790764,0.8138335347175598,4.5765252113342285,2.789337396621704,1.5807265247797575
149,MANGA,0.02855878509581089,0.9429149031639099,6.0,2.0658762454986572,1.1833030519765966
150,MANGA,0.02642100490629673,0.664268434047699,2.046100378036499,6.020929336547852,3.198755083686146
151,MANGA,0.028796201571822166,0.5776615142822266,2.4490578174591064,7.28004789352417,4.203369174280777
152,MANGA,0.031550366431474686,0.5494130253791809,1.6440356969833374,3.2144367694854736,2.0267583494667916
153,MANGA,0.024970214813947678,0.817067563533783,6.0,2.2554121017456055,1.1344221774046248
154,MANGA,0.02731059119105339,0.1727980375289917,0.6430502533912659,10.200040817260742,5.595468756285282
155,MANGA,0.028279462829232216,0.6555070281028748,4.99186372756958,3.812274932861328,2.1629828290237985
156,MANGA,0.02753068134188652,0.5683398842811584,0.8061431050300598,8.31309700012207,4.595876537901881
157,MANGA,0.04339880868792534,0.555571436882019,1.7992210388183594,3.519982099533081,3.0099940204795312
158,MANGA,0.04016762971878052,0.5804240703582764,1.1333118677139282,7.151573657989502,5.681935504622807
159,MANGA,0.04013912379741669,0.41831910610198975,0.6861083507537842,6.641765117645264,5.2733262170418955
