# AUTHOR: S.F. Sanchez & the IA-UNAM Team
# SOURCE: Pipe3D MaNGA analysis QC
# DATE: 2018-01-28
# VERSION: 2.3.1
# COLAPRV:  S.F.Sanchez
# PUBAPRV:
# COLUMN1: manganame, string,  , MaNGA name of the cube
# COLUMN2: QCFLAG, int,   , 0 is ok 2 is bad 3 is warning
# COLUMN3: FLAG 
# COLUMN4: Comment
# 1 => Error in redshift TBR
# 2 => No gas detected TBR
# 3 => Bright field star or compact companion in projection
# 4 => Large masked area
# 5 => Galaxy at the edge of the FoV
# 6 => Very low SN in the continuum
# 7 => Possible CR residual
# 8 => Just the very center of much larger galaxy
# 9 => Weird gas reported
# 10 => Additional problems
# COLUMN4: COMMENT
#manga-8318-3704,1,0, Seems to be ok
manga-8329-9102,2,3 
#manga-8454-1902,1,0, Seems to be ok
manga-8462-1902,2,3, star in the field
manga-8481-1901,2,3, star in the field
manga-8483-12704,3,3
manga-8550-6104,3,3
#manga-8601-12703,1,0, Seems to be ok
manga-8612-1901,2,1
#manga-8613-12701,3,3
manga-8623-12703,2,10
#manga-8626-12703,2,2
#manga-8717-3704,1,0, Seems to be ok
#manga-8727-1901,1,0, Seems to be ok
#manga-8987-9102,1,0, Seems to be ok
#manga-8990-3704,1,0, Seems to be ok
#manga-8999-12703,1,0, Seems to be ok
manga-8999-3702,2,1
#manga-9000-12703,3,2
#manga-9024-6102,1,0, Seems to be ok
manga-9181-12703,3,10, Galaxy pair
manga-9491-12703,2,3 
#manga-9493-6103,1,0, Seems to be ok
manga-9500-1901,3,10, Strong type-I AGN
#manga-9510-3704,1,0, Seems to be ok
