# (1) name
# (2) log_Mass_no_corr
# (3) lSFR
# (4) OH_O3N2
# (5) e_OH_O3N2
# (6) a_ion_cen[3]
# (7) frac_area_GAS
# (8) frac_area_SFR_pure
# (9) Av_w
# (10) OH_O3N2_Re
# (11) alpha_OH_O3N2_Re
# (12) a_vel_Ha_cen_mean
# (13) a_vel_ssp_cen_mean
# (14) z_gas
# (15) z_stars
# (16) FoV
# (17) nx
# (18) ny
# (19) Re_kpc
# (20) mag_g
# (21) log_Mass_corr
# (22) Av_ssp_stats[2]
# (23) OH_O3N2_Re2
# (24) e_OH_O3N2_Re2
# (25) error_Mass
# (26) e_lSFR
# (27) Age_LW_Re
# (28) e_Age_LW_Re
# (29) ZH_LW_Re
# (30) e_ZH_LW_Re
# (31) Av_LW_Re
# (32) e_Av_LW_Re
# (33) Av_gas_LW_Re
# (34) e_Av_gas_LW_Re
# (35) OH_Z_Re
# (36) e_ZH_LW_Re
# (37) log_age_mean_LW
# (38) s_log_age_mean_LW
# (39) log_ZH_mean_LW
# (40) s_log_ZH_mean_LW
# (41) Av_ssp_stats_mean
# (42) Av_ssp_stats_stddev
# (43) Av_w
# (44) e_Av_w
# (45) OH_Re_fit_O3N2
# (46) e_OH_Re_fit_O3N2
# (47) alpha_OH_Re_fit_O3N2
# (48) e_alpha_OH_Re_fit_O3N2
# (49) cc_r_OH_O3N2
# (50) sig_r_OH_O3N2
# (51) OH_Re_fit_N2
# (52) e_OH_Re_fit_N2
# (53) alpha_OH_Re_fit_N2
# (54) e_alpha_OH_Re_fit_N2
# (55) cc_r_OH_N2
# (56) sig_r_OH_N2
# (57) OH_Re_fit_ONS
# (58) e_OH_Re_fit_ONS
# (59) alpha_OH_Re_fit_ONS
# (60) e_alpha_OH_Re_fit_ONS
# (61) cc_r_OH_ONS
# (62) sig_r_OH_ONS
# (63) OH_Re_fit_R23
# (64) e_OH_Re_fit_R23
# (65) alpha_OH_Re_fit_R23
# (66) e_alpha_OH_Re_fit_R23
# (67) cc_r_OH_R23
# (68) sig_r_OH_R23
