name,ID,Z
manga-8082-3703,1-37998,0.02078999951481819
manga-10843-3703,1-380,0.021400000900030136
manga-8080-6104,1-38029,0.03668000176548958
manga-8081-6102,1-38033,0.03691999986767769
manga-8080-3704,1-38041,0.02102000080049038
manga-8082-12703,1-38042,0.021050000563263893
manga-8080-3702,1-38062,0.023110000416636467
manga-8082-1901,1-38103,0.02855999954044819
manga-8082-6103,1-38155,0.023879999294877052
manga-8082-6102,1-38167,0.024170000106096268
manga-8083-12703,1-38168,0.02434000000357628
manga-9492-6102,1-382349,0.052549999207258224
manga-10216-3701,1-382352,0.046220000833272934
manga-10218-6103,1-382473,0.044829998165369034
manga-10217-12701,1-382566,0.05034000054001808
manga-10216-12701,1-382678,0.046160001307725906
manga-8084-9102,1-38272,0.02590000070631504
manga-9490-12701,1-382729,0.04531000182032585
manga-8085-6103,1-38293,0.038839999586343765
manga-8084-6101,1-38299,0.020490000024437904
manga-10843-9102,1-383,0.04579000174999237
manga-10497-12703,1-383040,0.044509999454021454
manga-10497-6104,1-383050,0.04496999830007553
manga-8085-9101,1-38353,0.03767000138759613
manga-9490-3704,1-383589,0.044849999248981476
manga-9490-3701,1-383608,0.044679999351501465
manga-9490-3703,1-383612,0.043529998511075974
manga-8082-3704,1-38374,0.023830000311136246
manga-8081-12703,1-38398,0.025259999558329582
manga-8084-3703,1-38463,0.022690000012516975
manga-8085-6104,1-38470,0.020419999957084656
manga-8085-12705,1-38514,0.04024999961256981
manga-8155-6101,1-38521,0.03706999868154526
manga-8155-3703,1-38541,0.023579999804496765
manga-8155-3702,1-38543,0.023439999669790268
manga-8155-6104,1-38553,0.026000000536441803
manga-12092-9101,1-39880,0.0408799983561039
manga-12094-1902,1-39922,0.03840000182390213
manga-12092-9102,1-39946,0.03962999954819679
manga-12092-12705,1-39995,0.03979000076651573
manga-12491-3704,1-4036,0.03779999911785126
manga-12094-6101,1-40534,0.04287000000476837
manga-12094-12704,1-40577,0.04552999883890152
manga-12093-3703,1-40777,0.0430000014603138
manga-12094-3703,1-40778,0.04422999918460846
manga-12093-6102,1-40796,0.0386199988424778
manga-12094-1901,1-40810,0.044280000030994415
manga-8092-1902,1-40883,0.03776000067591667
manga-8093-12701,1-41030,0.03830999881029129
manga-10843-3701,1-411,0.02095000073313713
manga-8093-3701,1-41133,0.03754999861121178
manga-10217-12702,1-411980,0.050209999084472656
manga-11743-12703,1-412000,0.04761999845504761
manga-10217-6103,1-412058,0.04699999839067459
manga-10218-12701,1-412119,0.05356999859213829
manga-11744-3703,1-412207,0.04481000080704689
manga-10497-1902,1-412272,0.04478999972343445
manga-8093-12703,1-41257,0.03666999936103821
manga-8093-3703,1-41258,0.036389999091625214
manga-8570-12704,1-41260,0.03706999868154526
manga-8241-1901,1-412631,0.04332000017166138
manga-11743-3704,1-458609,0.04741999879479408
manga-11743-12702,1-458614,0.047839999198913574
manga-11743-12704,1-458678,0.04910999909043312
manga-11743-9101,1-458697,0.0494999997317791
manga-11743-3703,1-458712,0.051270000636577606
manga-10217-3703,1-458727,0.04757000133395195
manga-8241-12702,1-460434,0.04376000165939331
manga-12512-6104,1-480,0.03714999929070473
manga-9188-12701,1-51079,0.0364300012588501
manga-9189-9102,1-51315,0.037050001323223114
manga-9189-3702,1-51332,0.03781000152230263
manga-9190-6102,1-51378,0.03407000005245209
manga-9189-1902,1-51568,0.03525000065565109
manga-9190-12704,1-51612,0.03757999837398529
manga-9190-3704,1-51616,0.03767000138759613
manga-8727-1901,1-51776,0.033730000257492065
manga-8727-6103,1-51779,0.03468000143766403
manga-8727-6102,1-51799,0.03480999916791916
manga-8728-6103,1-52368,0.03691999986767769
manga-8158-9102,1-52554,0.03878999873995781
manga-8158-12705,1-52578,0.0385500006377697
manga-8158-1902,1-52600,0.03773999959230423
manga-8158-9101,1-52637,0.038029998540878296
manga-8158-1901,1-52677,0.038359999656677246
manga-9512-12701,1-53870,0.05417000129818916
manga-11867-9101,1-53870,0.05417000129818916
manga-10841-6101,1-54586,0.05048000067472458
manga-10841-3701,1-54602,0.024329999461770058
manga-9194-6102,1-547747,0.04490000009536743
manga-11752-1902,1-54829,0.02548000030219555
manga-11752-12704,1-54940,0.045779999345541
manga-11752-3703,1-54970,0.0459199994802475
manga-8617-9102,1-550945,0.050700001418590546
manga-11759-3702,1-55178,0.04799000173807144
manga-11753-3702,1-55227,0.04746000096201897
manga-11753-1901,1-55399,0.030570000410079956
manga-11866-12702,1-55513,0.032019998878240585
manga-9492-6104,1-556831,0.04636000096797943
manga-10217-3702,1-556959,0.05186000093817711
manga-12506-9101,1-559752,0.028780000284314156
manga-12094-12701,1-601909,0.038520000874996185
manga-8092-1901,1-601940,0.0451899990439415
manga-8093-12704,1-602324,0.045170001685619354
manga-8570-6104,1-602390,0.04394000023603439
manga-10845-6101,1-60334,0.02775000035762787
manga-8079-9101,1-603795,0.023240000009536743
manga-9194-12703,1-603974,0.03725999966263771
manga-8080-6102,1-603996,0.037620000541210175
manga-8082-1902,1-604037,0.02101000025868416
manga-8084-12702,1-604048,0.03646000102162361
manga-10516-6101,1-60570,0.030990000814199448
manga-11752-6104,1-605957,0.026079999282956123
manga-10845-1902,1-60629,0.03198999911546707
manga-10843-3702,1-606422,0.027470000088214874
manga-10516-12701,1-60653,0.023350000381469727
manga-12490-3703,1-613941,0.039799999445676804
manga-12491-9101,1-62037,0.037209998816251755
manga-11958-12701,1-627411,0.02386000007390976
manga-11958-12702,1-627461,0.023360000923275948
manga-11835-3704,1-70172,0.02734999917447567
manga-11834-9102,1-70384,0.029349999502301216
manga-11834-3702,1-70386,0.043540000915527344
manga-10839-12704,1-76735,0.04024000093340874
manga-10514-12702,1-77735,0.02776999957859516
manga-10841-1901,1-77800,0.02769000083208084
manga-10514-6104,1-78021,0.024000000208616257
manga-10844-3702,1-78117,0.027370000258088112
manga-10844-1902,1-78155,0.04670000076293945
manga-10845-9101,1-78213,0.030309999361634254
manga-10845-1901,1-78239,0.030649999156594276
manga-10515-12705,1-78252,0.03084000013768673
manga-11753-6103,1-78284,0.02157999947667122
manga-10515-1902,1-78291,0.02402999997138977
manga-11753-6104,1-78294,0.02411000058054924
manga-10515-3701,1-78343,0.020409999415278435
manga-10515-3704,1-78353,0.030249999836087227
manga-10515-12704,1-78377,0.029650000855326653
manga-10517-3704,1-78439,0.02905000001192093
manga-10845-12705,1-78451,0.029279999434947968
manga-10845-12704,1-78452,0.04746000096201897
manga-10517-9101,1-78627,0.04307999834418297
manga-10517-3702,1-78665,0.043299999088048935
manga-10516-3703,1-78766,0.02833000011742115
manga-10516-12704,1-78783,0.04493999853730202
manga-10517-9102,1-78858,0.023000000044703484
manga-10518-9101,1-78873,0.04197999835014343
manga-10518-1902,1-79052,0.032030001282691956
manga-10519-12702,1-79095,0.04267999902367592
manga-12490-12701,1-81110,0.041370000690221786
manga-12506-12701,1-82432,0.03002999909222126
manga-12506-3702,1-82669,0.031950000673532486
manga-12506-1902,1-82684,0.027400000020861626
manga-11835-3702,1-82687,0.026319999247789383
manga-11835-12703,1-82991,0.027620000764727592
manga-11835-9102,1-83002,0.0276699997484684
manga-12506-9102,1-83058,0.027979999780654907
manga-12506-6104,1-83063,0.02710000053048134
manga-11022-1901,1-83094,0.05762999877333641
manga-11824-12704,1-83451,0.034710001200437546
manga-11866-3702,1-954,0.04704999923706055
